in_sz	out_sz	cl_un	cl_0	sse_un	sse_0	sca_un	sca_0
10000	2500	0.1283	0.1227	0.0137	0.0211	0.0477	0.0544
29929	7396	0.1868	0.1760	0.1705	0.1857	0.4185	0.4651
49729	12321	0.2326	0.2625	0.3327	0.6322	1.1663	1.3582
69696	17424	0.4167	0.3685	0.6558	1.6239	2.1912	2.7363
90000	22500	0.5042	0.5186	1.0508	3.3991	3.6293	5.0181
109561	27225	0.7414	0.8066	1.5348	6.3427	5.4975	8.2285
129600	32400	0.9443	0.9579	2.1252	10.0760	7.5061	13.4943
149769	37249	1.3233	1.3032	2.9172	15.6001	10.3600	18.0089
169744	42436	1.6192	1.5858	3.7298	20.8686	12.9494	23.0211
189225	47089	1.8603	1.9193	4.5303	26.1063	16.0080	29.4370
209764	52441	2.3558	2.2995	5.6358	33.9260	20.3391	37.2430
229441	57121	2.6503	2.6577	6.6045	40.2779	23.5384	44.5914
250000	62500	3.1133	3.1198	7.9077	49.3204	27.9781	54.4628
